,car_name,brand,model,vehicle_age,km_driven,fuel_type,transmission_type,mileage,selling_price
113,Maruti Swift Dzire,Maruti,Swift Dzire,2019,25000,Diesel,Automatic,28.4,850000
114,Hyundai Creta,Hyundai,Creta,2019,102000,Diesel,Automatic,17.01,1100000
115,Maruti Swift,Maruti,Swift,2020,35000,Petrol,Manual,22.0,575000
116,Maruti Swift Dzire,Maruti,Swift Dzire,2014,49948,Petrol,Manual,17.5,340000
117,Ford Ecosport,Ford,Ecosport,2020,55000,Diesel,Manual,23.0,925000
118,Hyundai Grand,Hyundai,Grand,2017,36000,Petrol,Manual,18.9,400000
119,Honda City,Honda,City,2018,49625,Petrol,Manual,17.8,725000
120,Maruti Swift Dzire,Maruti,Swift Dzire,2016,35000,Diesel,Manual,23.4,600000
121,Mahindra Scorpio,Mahindra,Scorpio,2015,95000,Diesel,Manual,12.05,550000
122,Ford Aspire,Ford,Aspire,2019,36000,Diesel,Manual,25.83,585000
123,Maruti Wagon R,Maruti,Wagon R,2021,50000,Petrol,Manual,21.79,411000
124,Maruti Swift Dzire,Maruti,Swift Dzire,2017,26500,Petrol,Manual,20.85,450000
125,Honda CR-V,Honda,CR-V,2017,80000,Petrol,Automatic,13.7,1290000
126,Volkswagen Polo,Volkswagen,Polo,2017,46000,Petrol,Manual,16.47,455000
127,Hyundai Grand,Hyundai,Grand,2021,9000,Petrol,Manual,20.7,710000
128,Honda City,Honda,City,2018,53000,Petrol,Manual,16.8,770000
129,Ford Endeavour,Ford,Endeavour,2020,11387,Diesel,Automatic,10.91,2900000
130,Honda Amaze,Honda,Amaze,2020,50000,Diesel,Manual,25.8,720000
131,Mahindra KUV,Mahindra,KUV,2018,52000,Diesel,Manual,25.32,375000
132,Datsun GO,Datsun,GO,2017,35000,Petrol,Manual,19.44,400000
133,Renault Duster,Renault,Duster,2017,48000,Diesel,Manual,19.87,600000
134,Honda Jazz,Honda,Jazz,2020,18000,Petrol,Manual,18.7,600000
135,Maruti Wagon R,Maruti,Wagon R,2014,57413,LPG,Manual,14.4,270000
136,Hyundai i20,Hyundai,i20,2017,30000,Petrol,Manual,18.6,500000
137,Hyundai Verna,Hyundai,Verna,2017,55000,Diesel,Manual,23.9,650000
138,Maruti Swift,Maruti,Swift,2020,10000,Petrol,Automatic,21.21,660000
139,BMW 3,BMW,3,2018,68000,Diesel,Automatic,22.69,2090000
140,Kia Seltos,Kia,Seltos,2022,8000,Petrol,Manual,16.8,1275000
141,Maruti Swift,Maruti,Swift,2017,65000,Diesel,Manual,28.4,495000
142,Hyundai Grand,Hyundai,Grand,2018,25000,Petrol,Manual,18.9,475000
143,Maruti Ciaz,Maruti,Ciaz,2017,70000,Petrol,Manual,20.73,530000
144,Tata Tiago,Tata,Tiago,2018,9500,Petrol,Manual,23.84,530000
145,Hyundai Verna,Hyundai,Verna,2017,9100,Petrol,Manual,17.01,650000
146,Honda City,Honda,City,2012,86000,Petrol,Manual,17.0,335000
147,Audi A4,Audi,A4,2015,78000,Diesel,Automatic,16.55,1290000
148,Ford Figo,Ford,Figo,2013,60000,Diesel,Manual,20.0,300000
149,Maruti Wagon R,Maruti,Wagon R,2021,7883,Petrol,Automatic,21.5,550000
150,Maruti Swift Dzire,Maruti,Swift Dzire,2015,50205,Diesel,Manual,23.4,390000
151,Mahindra Bolero,Mahindra,Bolero,2010,220000,Diesel,Manual,13.6,260000
152,Tata Tigor,Tata,Tigor,2019,58000,Diesel,Manual,24.7,395000
153,Mahindra Scorpio,Mahindra,Scorpio,2014,170000,Diesel,Manual,12.05,550000
154,Maruti Swift Dzire,Maruti,Swift Dzire,2020,15000,Petrol,Manual,22.0,650000
155,Maruti Swift,Maruti,Swift,2018,71245,Diesel,Manual,28.4,375000
156,Kia Seltos,Kia,Seltos,2021,7000,Petrol,Manual,16.1,1300000
157,Maruti Alto,Maruti,Alto,2020,20000,Petrol,Manual,23.95,360000
158,Maruti Celerio,Maruti,Celerio,2022,8700,Petrol,Manual,21.63,505000
159,Maruti Alto,Maruti,Alto,2021,25000,Petrol,Manual,24.7,310000
160,Hyundai i20,Hyundai,i20,2017,42000,Petrol,Manual,18.6,545000
161,Mahindra Bolero,Mahindra,Bolero,2008,120000,Diesel,Manual,13.6,150000
162,Maruti Baleno,Maruti,Baleno,2020,50000,Petrol,Manual,21.4,580000
163,Maruti Wagon R,Maruti,Wagon R,2013,58000,Petrol,Manual,18.9,250000
164,Hyundai Verna,Hyundai,Verna,2019,36000,Petrol,Manual,17.43,650000
165,Maruti Ertiga,Maruti,Ertiga,2020,30000,Diesel,Manual,25.47,410000
166,Ford Ecosport,Ford,Ecosport,2017,162828,Diesel,Manual,22.77,531000
167,Ford Ecosport,Ford,Ecosport,2020,7500,Diesel,Manual,23.0,890000
168,Tata Safari,Tata,Safari,2018,47227,Diesel,Manual,14.0,775000
169,Maruti Wagon R,Maruti,Wagon R,2020,52000,CNG,Manual,33.54,435000
170,Ford Figo,Ford,Figo,2014,74000,Diesel,Manual,20.0,185000
171,Mahindra Bolero,Mahindra,Bolero,2013,47000,Diesel,Manual,15.96,440000
172,Hyundai i20,Hyundai,i20,2017,50000,Petrol,Manual,18.6,450000
173,Maruti Baleno,Maruti,Baleno,2019,100000,Petrol,Manual,21.4,600000
174,Maruti Celerio,Maruti,Celerio,2016,35000,Petrol,Manual,23.1,320000
175,Hyundai i20,Hyundai,i20,2018,50000,Diesel,Manual,21.19,700000
176,Ford Aspire,Ford,Aspire,2020,10000,Petrol,Manual,18.16,630000
177,Maruti Alto,Maruti,Alto,2018,10370,Petrol,Manual,22.74,320000
178,Honda City,Honda,City,2015,62000,Petrol,Manual,16.8,465000
179,Hyundai i20,Hyundai,i20,2018,40000,Petrol,Manual,18.6,550000
180,Maruti Swift,Maruti,Swift,2019,60000,Petrol,Manual,22.0,445000
181,Tata Safari,Tata,Safari,2015,67231,Diesel,Manual,14.0,705000
182,Maruti Wagon R,Maruti,Wagon R,2015,64000,CNG,Manual,33.54,270000
183,Honda City,Honda,City,2016,63000,Diesel,Manual,26.0,475000
184,Toyota Fortuner,Toyota,Fortuner,2017,80000,Diesel,Manual,12.55,1755000
185,Honda City,Honda,City,2013,55000,Petrol,Manual,16.9,350000
186,Hyundai i20,Hyundai,i20,2018,11000,Petrol,Manual,18.6,575000
187,Renault KWID,Renault,KWID,2019,17000,Petrol,Manual,23.01,360000
188,Maruti Alto,Maruti,Alto,2019,25000,Petrol,Manual,24.7,275000
189,Datsun GO,Datsun,GO,2018,33350,Petrol,Manual,19.44,320000
190,Hyundai Grand,Hyundai,Grand,2017,62000,Petrol,Manual,18.9,370000
191,Maruti Swift Dzire,Maruti,Swift Dzire,2011,59000,Petrol,Manual,17.5,275000
192,Honda City,Honda,City,2016,86113,Petrol,Manual,17.4,550000
193,Maruti Swift Dzire,Maruti,Swift Dzire,2020,10000,Diesel,Manual,28.4,750000
194,Maruti Wagon R,Maruti,Wagon R,2017,92537,Petrol,Manual,20.51,272000
195,Maruti Ciaz,Maruti,Ciaz,2021,27645,Diesel,Manual,28.09,951000
196,Maruti Alto,Maruti,Alto,2015,46242,Petrol,Manual,20.92,280000
197,Honda City,Honda,City,2015,70000,Petrol,Manual,16.8,545000
198,Renault KWID,Renault,KWID,2022,6000,Petrol,Manual,22.3,450000
199,Hyundai i20,Hyundai,i20,2019,64000,Petrol,Manual,18.6,480000
200,Mahindra Scorpio,Mahindra,Scorpio,2019,93000,Diesel,Manual,15.4,1060000
201,Maruti Alto,Maruti,Alto,2015,26200,Petrol,Manual,22.74,235000
202,Maruti Baleno,Maruti,Baleno,2019,25000,Petrol,Manual,21.4,590000
203,Toyota Fortuner,Toyota,Fortuner,2020,50000,Diesel,Automatic,12.9,2950000
204,Hyundai Santro,Hyundai,Santro,2010,80000,Petrol,Manual,17.92,110000
205,Mahindra Scorpio,Mahindra,Scorpio,2009,110000,Diesel,Manual,13.5,280000
206,Audi A4,Audi,A4,2018,55000,Petrol,Automatic,17.84,1851000
207,Honda City,Honda,City,2020,25000,Petrol,Manual,17.4,750000
208,Hyundai Grand,Hyundai,Grand,2017,36000,Petrol,Manual,18.9,400000
209,Maruti Swift Dzire,Maruti,Swift Dzire,2017,40000,Diesel,Manual,26.59,530000
210,Mahindra Thar,Mahindra,Thar,2020,25000,Diesel,Manual,16.55,870000
211,Renault KWID,Renault,KWID,2020,30038,Petrol,Manual,25.17,295000
212,Tata Tiago,Tata,Tiago,2019,53000,Diesel,Manual,27.28,370000
213,Maruti Swift,Maruti,Swift,2020,5000,Petrol,Manual,21.21,530000
214,Renault KWID,Renault,KWID,2019,35000,Petrol,Automatic,24.04,350000
215,Ford Ecosport,Ford,Ecosport,2015,62000,Diesel,Manual,22.7,470000
216,Ford Aspire,Ford,Aspire,2017,42000,Diesel,Manual,25.83,390000
217,Mahindra Scorpio,Mahindra,Scorpio,2017,80000,Diesel,Manual,15.4,920000
218,Mahindra XUV500,Mahindra,XUV500,2015,60000,Diesel,Manual,15.1,550000
219,Hyundai Verna,Hyundai,Verna,2016,45000,Diesel,Manual,22.32,635000
220,Mahindra XUV500,Mahindra,XUV500,2019,50000,Diesel,Automatic,16.0,1250000
221,Maruti Alto,Maruti,Alto,2020,12000,Petrol,Manual,24.7,300000
222,Honda City,Honda,City,2020,12000,Petrol,Automatic,18.0,960000
223,Maruti Vitara,Maruti,Vitara,2020,15000,Diesel,Manual,24.3,750000
224,Volkswagen Polo,Volkswagen,Polo,2013,63000,Petrol,Manual,16.47,249000
225,Tata Hexa,Tata,Hexa,2020,30000,Diesel,Manual,17.6,1400000
226,Ford Figo,Ford,Figo,2013,160800,Diesel,Manual,20.0,250000
227,Hyundai Verna,Hyundai,Verna,2016,120000,Diesel,Manual,22.32,610000
228,Ford Ecosport,Ford,Ecosport,2018,78247,Diesel,Manual,21.7,545000
229,Hyundai Verna,Hyundai,Verna,2015,113000,Diesel,Manual,22.32,480000
230,Hyundai i20,Hyundai,i20,2016,52000,Petrol,Manual,18.6,395000
231,Toyota Innova,Toyota,Innova,2014,109000,Diesel,Manual,12.99,495000
232,Hyundai Grand,Hyundai,Grand,2019,90000,Petrol,Manual,18.9,470000
233,Volkswagen Polo,Volkswagen,Polo,2013,98000,Diesel,Manual,22.07,200000
234,Hyundai i20,Hyundai,i20,2018,20000,Diesel,Manual,21.19,699000
235,Maruti Wagon R,Maruti,Wagon R,2016,21717,Petrol,Manual,20.51,340000
236,Renault Duster,Renault,Duster,2016,40000,Diesel,Manual,20.45,500000
237,Honda City,Honda,City,2019,50000,Petrol,Manual,17.14,1050000
238,Renault Duster,Renault,Duster,2018,90000,Diesel,Manual,19.6,600000
239,Maruti Swift,Maruti,Swift,2019,27876,Petrol,Manual,20.4,491000
240,Land Rover Rover,Land Rover,Rover,2018,56000,Petrol,Automatic,12.63,2890000
241,Hyundai i10,Hyundai,i10,2010,57215,Petrol,Manual,20.36,160000
242,Hyundai Venue,Hyundai,Venue,2021,5400,Petrol,Manual,18.27,985000
243,Maruti Swift Dzire,Maruti,Swift Dzire,2016,60000,Diesel,Manual,23.4,500000
244,Tata Tiago,Tata,Tiago,2019,24800,Petrol,Manual,23.84,335000
245,Maruti Alto,Maruti,Alto,2007,70000,Petrol,Manual,19.7,85000
246,Honda Jazz,Honda,Jazz,2020,20000,Petrol,Automatic,17.1,740000
247,Maruti Swift,Maruti,Swift,2015,34553,Petrol,Manual,22.0,375000
248,Maruti Vitara,Maruti,Vitara,2020,40000,Diesel,Manual,24.3,810000
249,Volkswagen Polo,Volkswagen,Polo,2012,350000,Petrol,Manual,16.47,173000
250,Maruti Vitara,Maruti,Vitara,2019,50000,Diesel,Manual,24.3,700000
251,Mahindra KUV,Mahindra,KUV,2018,70000,Diesel,Manual,25.32,310000
252,Mahindra Scorpio,Mahindra,Scorpio,2019,120000,Diesel,Manual,15.4,850000
253,Hyundai i20,Hyundai,i20,2015,90000,Diesel,Manual,22.54,285000
254,Maruti Swift Dzire,Maruti,Swift Dzire,2016,120000,Diesel,Manual,23.4,450000
255,Hyundai Creta,Hyundai,Creta,2019,80000,Diesel,Manual,19.67,1100000
256,Mahindra Scorpio,Mahindra,Scorpio,2019,30000,Diesel,Manual,15.4,1080000
257,Honda City,Honda,City,2016,66100,Diesel,Manual,26.0,530000
258,Maruti Swift Dzire,Maruti,Swift Dzire,2019,50000,Diesel,Manual,28.4,680000
259,Mahindra Scorpio,Mahindra,Scorpio,2019,42000,Diesel,Manual,15.4,1025000
260,Hyundai i20,Hyundai,i20,2019,55000,Petrol,Manual,18.6,650000
261,Hyundai i10,Hyundai,i10,2014,110699,Petrol,Manual,20.36,194000
262,Maruti Baleno,Maruti,Baleno,2021,5000,Petrol,Automatic,21.4,686000
263,Maruti Alto,Maruti,Alto,2018,50000,Petrol,Manual,22.74,200000
264,Maruti Swift Dzire,Maruti,Swift Dzire,2012,44000,Petrol,Manual,19.1,250000
265,Maruti Vitara,Maruti,Vitara,2020,90000,Diesel,Manual,24.3,730000
266,Hyundai Verna,Hyundai,Verna,2018,55000,Petrol,Manual,17.01,650000
267,Maruti Vitara,Maruti,Vitara,2019,45000,Diesel,Manual,24.3,790000
268,Maruti Baleno,Maruti,Baleno,2019,30000,Petrol,Manual,21.4,620000
269,Hyundai Verna,Hyundai,Verna,2015,50000,Petrol,Manual,17.01,510000
270,Maruti Eeco,Maruti,Eeco,2015,20000,Petrol,Manual,15.37,375000
271,Maruti Swift Dzire,Maruti,Swift Dzire,2019,19843,Petrol,Automatic,21.21,620000
272,Ford Endeavour,Ford,Endeavour,2013,30000,Diesel,Automatic,11.4,950000
273,Toyota Innova,Toyota,Innova,2019,52300,Diesel,Manual,13.68,1450000
274,Honda City,Honda,City,2018,40000,Petrol,Automatic,18.0,845000
275,Maruti Swift Dzire,Maruti,Swift Dzire,2016,61500,Diesel,Manual,23.4,390000
276,Honda Amaze,Honda,Amaze,2017,59000,Petrol,Manual,18.0,395000
277,Hyundai Grand,Hyundai,Grand,2020,40000,Petrol,Manual,18.9,450000
278,Audi A6,Audi,A6,2015,60000,Diesel,Automatic,17.68,1700000
279,Hyundai Grand,Hyundai,Grand,2015,61000,Petrol,Manual,18.9,325000
280,Mahindra KUV,Mahindra,KUV,2018,70000,Diesel,Manual,25.32,350000
281,Mahindra XUV500,Mahindra,XUV500,2015,63000,Diesel,Manual,15.1,650000
282,Mercedes-Benz E-Class,Mercedes-Benz,E-Class,2014,58000,Petrol,Manual,12.3,1250000
283,Maruti Swift Dzire,Maruti,Swift Dzire,2019,22000,Diesel,Manual,28.4,750000
284,Honda City,Honda,City,2012,57977,Petrol,Manual,17.0,299000
286,Mini Cooper,Mini,Cooper,2014,67000,Petrol,Automatic,17.33,1325000
287,Maruti Ertiga,Maruti,Ertiga,2016,48242,Diesel,Manual,20.77,524000
288,Ford Figo,Ford,Figo,2014,68000,Diesel,Manual,20.0,169000
289,Maruti Ertiga,Maruti,Ertiga,2016,40000,Diesel,Manual,20.77,500000
290,Audi Q7,Audi,Q7,2014,98000,Diesel,Automatic,12.07,2000000
291,Maruti Swift Dzire,Maruti,Swift Dzire,2015,113450,Diesel,Manual,23.4,380000
292,Maruti Wagon R,Maruti,Wagon R,2020,80000,Petrol,Automatic,20.51,400000
293,Hyundai Santro,Hyundai,Santro,2022,1000,Petrol,Automatic,20.3,565000
294,Maruti Wagon R,Maruti,Wagon R,2017,20292,Petrol,Manual,20.51,335000
295,Mahindra Scorpio,Mahindra,Scorpio,2012,67900,Diesel,Manual,12.05,300000
296,Mahindra Scorpio,Mahindra,Scorpio,2017,40000,Diesel,Manual,15.4,1051000
297,Hyundai Grand,Hyundai,Grand,2019,60000,Diesel,Manual,24.0,510000
298,Renault KWID,Renault,KWID,2020,25000,Petrol,Automatic,24.04,370000
299,Maruti Wagon R,Maruti,Wagon R,2008,70000,Petrol,Manual,18.9,200000
300,Maruti Baleno,Maruti,Baleno,2020,21000,Diesel,Manual,27.39,625000
301,Mahindra Scorpio,Mahindra,Scorpio,2020,39000,Diesel,Manual,16.36,1290000
302,Hyundai Creta,Hyundai,Creta,2019,30000,Petrol,Manual,15.8,890000
303,Hyundai Verna,Hyundai,Verna,2014,61000,Diesel,Manual,22.32,420000
304,Maruti Swift,Maruti,Swift,2019,5743,Petrol,Manual,20.4,500000
305,Hyundai Grand,Hyundai,Grand,2020,24200,Petrol,Manual,18.9,600000
306,Maruti Baleno,Maruti,Baleno,2019,57000,Diesel,Manual,27.39,590000
307,Hyundai i10,Hyundai,i10,2013,58000,Petrol,Manual,20.36,190000
308,Datsun GO,Datsun,GO,2019,15000,Petrol,Manual,19.44,500000
309,Maruti Celerio,Maruti,Celerio,2019,10000,Petrol,Manual,23.1,450000
310,Mahindra XUV500,Mahindra,XUV500,2017,100000,Diesel,Manual,15.1,650000
312,Maruti Wagon R,Maruti,Wagon R,2022,10000,Petrol,Manual,20.52,500000
313,Maruti Alto,Maruti,Alto,2011,43000,Petrol,Manual,19.7,140000
314,Honda Amaze,Honda,Amaze,2015,64000,CNG,Manual,18.0,349000
315,Maruti Wagon R,Maruti,Wagon R,2016,30000,Petrol,Manual,20.51,325000
316,Honda City,Honda,City,2016,63000,Petrol,Manual,17.8,435000
317,Maruti Celerio,Maruti,Celerio,2020,28000,CNG,Manual,31.79,455000
319,Honda City,Honda,City,2019,32226,Petrol,Manual,17.8,755000
320,Maruti Alto,Maruti,Alto,2016,65000,Petrol,Manual,23.95,245000
321,Kia Seltos,Kia,Seltos,2021,14000,Diesel,Manual,20.8,1350000
322,Renault KWID,Renault,KWID,2020,15000,Petrol,Automatic,24.04,310000
323,BMW 6,BMW,6,2020,30000,Petrol,Automatic,14.28,5500000
324,Maruti Swift Dzire,Maruti,Swift Dzire,2020,32000,Diesel,Manual,19.3,675000
325,Maruti Wagon R,Maruti,Wagon R,2021,30000,Petrol,Manual,20.52,500000
326,Hyundai i10,Hyundai,i10,2012,25000,Petrol,Manual,20.36,300000
