,car_name,brand,model,vehicle_age,km_driven,fuel_type,transmission_type,mileage,selling_price
56,Mahindra KUV100,Mahindra,KUV100,3,17000,Petrol,Manual,18.15,550000
58,Maruti Baleno,Maruti,Baleno,5,22000,Petrol,Manual,15.4,625000
59,Maruti Swift Dzire,Maruti,Swift Dzire,5,54000,Petrol,Manual,20.85,600000
60,Maruti Wagon R,Maruti,Wagon R,2,10000,Petrol,Manual,20.51,445000
61,Maruti Ignis,Maruti,Ignis,2,20000,Petrol,Manual,20.89,530000
63,Maruti Wagon R,Maruti,Wagon R,3,53237,CNG,Manual,26.6,410000
64,Datsun RediGO,Datsun,RediGO,3,27263,Petrol,Manual,22.5,350000
66,Hyundai Verna,Hyundai,Verna,7,110000,Diesel,Manual,22.32,520000
67,Hyundai i20,Hyundai,i20,5,70000,Diesel,Manual,22.54,750000
68,Maruti Swift Dzire,Maruti,Swift Dzire,4,70000,Diesel,Manual,26.59,560000
71,Hyundai i20,Hyundai,i20,2,39000,Petrol,Manual,18.6,655000
72,Hyundai Santro,Hyundai,Santro,14,56000,Petrol,Manual,17.8,125000
75,Hyundai i20,Hyundai,i20,3,34000,Petrol,Manual,18.6,550000
76,Mahindra Scorpio,Mahindra,Scorpio,4,50000,Diesel,Manual,15.4,1150000
77,Volkswagen Vento,Volkswagen,Vento,9,77400,Diesel,Manual,20.54,500000
78,Mahindra Marazzo,Mahindra,Marazzo,2,36000,Diesel,Manual,17.3,990000
79,Hyundai Verna,Hyundai,Verna,8,47876,Diesel,Manual,25,551000
80,Mahindra XUV500,Mahindra,XUV500,3,21500,Diesel,Automatic,15.1,1650000
81,Hyundai Grand,Hyundai,Grand,6,75000,Diesel,Manual,24,350000
82,Ford Aspire,Ford,Aspire,4,58000,Petrol,Manual,18.16,500000
83,Maruti Swift Dzire,Maruti,Swift Dzire,3,30000,Petrol,Manual,21.21,575000
84,Hyundai Grand,Hyundai,Grand,3,50000,Diesel,Manual,24,545000
85,Ford Figo,Ford,Figo,4,19093,Petrol,Manual,18.16,525000
86,Honda Amaze,Honda,Amaze,7,50000,Petrol,Manual,18,400000
87,Maruti Wagon R,Maruti,Wagon R,15,37000,Petrol,Manual,14,155000
89,Maruti Swift Dzire,Maruti,Swift Dzire,5,47000,Diesel,Manual,26.59,545000
90,Honda City,Honda,City,8,70000,Petrol,Manual,16.8,545000
91,Renault KWID,Renault,KWID,5,25000,Petrol,Manual,25.17,240000
92,Maruti Vitara,Maruti,Vitara,3,26000,Diesel,Manual,24.3,725000
93,Ford Aspire,Ford,Aspire,4,30000,Petrol,Manual,18.16,480000
94,Hyundai i20,Hyundai,i20,8,15000,Petrol,Manual,18.5,375000
95,Maruti Swift,Maruti,Swift,10,160000,Diesel,Manual,17.8,225000
96,Tata Tiago,Tata,Tiago,4,32100,Petrol,Manual,23.84,400000
97,Hyundai i20,Hyundai,i20,5,22000,Petrol,Manual,18.5,550000
98,Mahindra Scorpio,Mahindra,Scorpio,5,44000,Diesel,Manual,15.4,1050000
99,Volkswagen Polo,Volkswagen,Polo,5,78000,Petrol,Manual,18.78,450000
100,Mercedes-Benz C-Class,Mercedes-Benz,C-Class,9,74352,Petrol,Automatic,11.74,775000
101,Maruti Wagon R,Maruti,Wagon R,7,37000,Petrol,Manual,20.51,350000
102,Honda City,Honda,City,7,69000,Diesel,Manual,25.1,550000
103,Kia Seltos,Kia,Seltos,2,12120,Petrol,Manual,16.8,1080000
104,Maruti Baleno,Maruti,Baleno,5,52000,Petrol,Manual,21.01,575000
105,Toyota Innova,Toyota,Innova,5,120000,Diesel,Manual,12.99,950000
106,Maruti Alto,Maruti,Alto,8,55000,Petrol,Manual,22.74,230000
107,Hyundai i20,Hyundai,i20,10,160000,Diesel,Manual,21.9,270000
109,Ford Figo,Ford,Figo,10,40000,Petrol,Manual,15.6,130000
110,Maruti Swift Dzire,Maruti,Swift Dzire,9,46000,Petrol,Manual,19.1,370000
111,Maruti Baleno,Maruti,Baleno,4,25000,Petrol,Manual,21.4,570000
113,Volkswagen Polo,Volkswagen,Polo,8,90000,Diesel,Manual,22.07,365000
114,Hyundai i20,Hyundai,i20,9,49566,Petrol,Manual,18.5,280000
115,Hyundai Verna,Hyundai,Verna,3,14000,Diesel,Automatic,22,1250000
116,Hyundai i20,Hyundai,i20,5,11000,Petrol,Manual,18.6,590000
117,Maruti Celerio,Maruti,Celerio,3,5000,Petrol,Automatic,23.1,475000
118,Ford Ecosport,Ford,Ecosport,4,55000,Diesel,Manual,23,685000
119,Hyundai Verna,Hyundai,Verna,9,65000,Diesel,Automatic,19.08,380000
120,Renault KWID,Renault,KWID,3,22000,Petrol,Manual,23.01,330000
121,Maruti Baleno,Maruti,Baleno,3,7671,Petrol,Manual,21.01,650000
122,Maruti Wagon R,Maruti,Wagon R,5,66000,Petrol,Manual,20.51,325000
123,Maruti Swift Dzire,Maruti,Swift Dzire,3,45156,Petrol,Automatic,21.21,640000
124,Hyundai Venue,Hyundai,Venue,2,25000,Petrol,Manual,18.27,949000
126,Hyundai Verna,Hyundai,Verna,6,120000,Diesel,Manual,23.9,660000
127,Maruti Swift,Maruti,Swift,7,28000,Petrol,Manual,16.1,435000
128,Hyundai i20,Hyundai,i20,8,55000,Diesel,Manual,21.9,385000
130,Hyundai Verna,Hyundai,Verna,2,14000,Diesel,Automatic,22,1250000
132,Maruti Wagon R,Maruti,Wagon R,12,98780,Petrol,Manual,18.9,155000
133,Maruti Swift,Maruti,Swift,6,58000,Diesel,Manual,25.2,415000
134,Maruti Alto,Maruti,Alto,10,30000,Petrol,Manual,20.92,251000
135,Mahindra Scorpio,Mahindra,Scorpio,5,46400,Diesel,Manual,15.4,1150000
136,Hyundai i10,Hyundai,i10,7,32111,Petrol,Manual,19.81,310000
137,Datsun GO,Datsun,GO,6,35000,Petrol,Manual,19.44,350000
138,Mahindra Scorpio,Mahindra,Scorpio,4,30000,Diesel,Manual,15.4,1125000
139,BMW 5,BMW,5,5,63000,Diesel,Automatic,18.59,2600000
141,Datsun GO,Datsun,GO,3,10000,Petrol,Manual,20.62,480000
142,Maruti Swift Dzire,Maruti,Swift Dzire,4,25000,Diesel,Automatic,28.4,850000
143,Hyundai Creta,Hyundai,Creta,4,102000,Diesel,Automatic,17.01,1100000
144,Maruti Swift,Maruti,Swift,3,35000,Petrol,Manual,22,575000
145,Maruti Swift Dzire,Maruti,Swift Dzire,9,49948,Petrol,Manual,17.5,340000
147,Ford Ecosport,Ford,Ecosport,3,55000,Diesel,Manual,23,925000
148,Hyundai Grand,Hyundai,Grand,6,36000,Petrol,Manual,18.9,400000
150,Honda City,Honda,City,5,49625,Petrol,Manual,17.8,725000
151,Maruti Swift Dzire,Maruti,Swift Dzire,7,35000,Diesel,Manual,23.4,600000
152,Mahindra Scorpio,Mahindra,Scorpio,8,95000,Diesel,Manual,12.05,550000
153,Ford Aspire,Ford,Aspire,4,36000,Diesel,Manual,25.83,585000
154,Maruti Wagon R,Maruti,Wagon R,2,50000,Petrol,Manual,21.79,411000
155,Maruti Swift Dzire,Maruti,Swift Dzire,6,26500,Petrol,Manual,20.85,450000
156,Honda CR-V,Honda,CR-V,6,80000,Petrol,Automatic,13.7,1290000
157,Volkswagen Polo,Volkswagen,Polo,6,46000,Petrol,Manual,16.47,455000
158,Hyundai Grand,Hyundai,Grand,2,9000,Petrol,Manual,20.7,710000
161,Honda City,Honda,City,5,53000,Petrol,Manual,16.8,770000
164,Ford Endeavour,Ford,Endeavour,3,11387,Diesel,Automatic,10.91,2900000
165,Honda Amaze,Honda,Amaze,3,50000,Diesel,Manual,25.8,720000
166,Mahindra KUV,Mahindra,KUV,5,52000,Diesel,Manual,25.32,375000
168,Datsun GO,Datsun,GO,6,35000,Petrol,Manual,19.44,400000
169,Renault Duster,Renault,Duster,6,48000,Diesel,Manual,19.87,600000
170,Honda Jazz,Honda,Jazz,3,18000,Petrol,Manual,18.7,600000
171,Maruti Wagon R,Maruti,Wagon R,9,57413,LPG,Manual,14.4,270000
172,Hyundai i20,Hyundai,i20,6,30000,Petrol,Manual,18.6,500000
173,Hyundai Verna,Hyundai,Verna,6,55000,Diesel,Manual,23.9,650000
176,Maruti Swift,Maruti,Swift,3,10000,Petrol,Automatic,21.21,660000
178,BMW 3,BMW,3,5,68000,Diesel,Automatic,22.69,2090000
180,Kia Seltos,Kia,Seltos,1,8000,Petrol,Manual,16.8,1275000
182,Maruti Swift,Maruti,Swift,6,65000,Diesel,Manual,28.4,495000
186,Hyundai Grand,Hyundai,Grand,5,25000,Petrol,Manual,18.9,475000
189,Maruti Ciaz,Maruti,Ciaz,6,70000,Petrol,Manual,20.73,530000
190,Tata Tiago,Tata,Tiago,5,9500,Petrol,Manual,23.84,530000
191,Hyundai Verna,Hyundai,Verna,6,9100,Petrol,Manual,17.01,650000
193,Honda City,Honda,City,11,86000,Petrol,Manual,17,335000
195,Audi A4,Audi,A4,8,78000,Diesel,Automatic,16.55,1290000
196,Ford Figo,Ford,Figo,10,60000,Diesel,Manual,20,300000
197,Maruti Wagon R,Maruti,Wagon R,2,7883,Petrol,Automatic,21.5,550000
198,Maruti Swift Dzire,Maruti,Swift Dzire,8,50205,Diesel,Manual,23.4,390000
199,Mahindra Bolero,Mahindra,Bolero,13,220000,Diesel,Manual,13.6,260000
200,Tata Tigor,Tata,Tigor,4,58000,Diesel,Manual,24.7,395000
201,Mahindra Scorpio,Mahindra,Scorpio,9,170000,Diesel,Manual,12.05,550000
202,Maruti Swift Dzire,Maruti,Swift Dzire,3,15000,Petrol,Manual,22,650000
203,Maruti Swift,Maruti,Swift,5,71245,Diesel,Manual,28.4,375000
207,Kia Seltos,Kia,Seltos,2,7000,Petrol,Manual,16.1,1300000
208,Maruti Alto,Maruti,Alto,3,20000,Petrol,Manual,23.95,360000
209,Maruti Celerio,Maruti,Celerio,1,8700,Petrol,Manual,21.63,505000
210,Maruti Alto,Maruti,Alto,2,25000,Petrol,Manual,24.7,310000
211,Hyundai i20,Hyundai,i20,6,42000,Petrol,Manual,18.6,545000
214,Mahindra Bolero,Mahindra,Bolero,15,120000,Diesel,Manual,13.6,150000
215,Maruti Baleno,Maruti,Baleno,3,50000,Petrol,Manual,21.4,580000
216,Maruti Wagon R,Maruti,Wagon R,10,58000,Petrol,Manual,18.9,250000
217,Hyundai Verna,Hyundai,Verna,4,36000,Petrol,Manual,17.43,650000
220,Maruti Ertiga,Maruti,Ertiga,3,30000,Diesel,Manual,25.47,410000
221,Ford Ecosport,Ford,Ecosport,6,162828,Diesel,Manual,22.77,531000
222,Ford Ecosport,Ford,Ecosport,3,7500,Diesel,Manual,23,890000
223,Tata Safari,Tata,Safari,5,47227,Diesel,Manual,14,775000
224,Maruti Wagon R,Maruti,Wagon R,3,52000,CNG,Manual,33.54,435000
225,Ford Figo,Ford,Figo,9,74000,Diesel,Manual,20,185000
226,Mahindra Bolero,Mahindra,Bolero,10,47000,Diesel,Manual,15.96,440000
227,Hyundai i20,Hyundai,i20,6,50000,Petrol,Manual,18.6,450000
228,Maruti Baleno,Maruti,Baleno,4,100000,Petrol,Manual,21.4,600000
229,Maruti Celerio,Maruti,Celerio,7,35000,Petrol,Manual,23.1,320000
230,Hyundai i20,Hyundai,i20,5,50000,Diesel,Manual,21.19,700000
231,Ford Aspire,Ford,Aspire,3,10000,Petrol,Manual,18.16,630000
232,Maruti Alto,Maruti,Alto,5,10370,Petrol,Manual,22.74,320000
233,Honda City,Honda,City,8,62000,Petrol,Manual,16.8,465000
236,Hyundai i20,Hyundai,i20,5,40000,Petrol,Manual,18.6,550000
237,Maruti Swift,Maruti,Swift,4,60000,Petrol,Manual,22,445000
238,Tata Safari,Tata,Safari,8,67231,Diesel,Manual,14,705000
239,Maruti Wagon R,Maruti,Wagon R,8,64000,CNG,Manual,33.54,270000
241,Honda City,Honda,City,7,63000,Diesel,Manual,26,475000
242,Toyota Fortuner,Toyota,Fortuner,6,80000,Diesel,Manual,12.55,1755000
243,Honda City,Honda,City,10,55000,Petrol,Manual,16.9,350000
244,Hyundai i20,Hyundai,i20,5,11000,Petrol,Manual,18.6,575000
246,Renault KWID,Renault,KWID,4,17000,Petrol,Manual,23.01,360000
247,Maruti Alto,Maruti,Alto,4,25000,Petrol,Manual,24.7,275000
248,Datsun GO,Datsun,GO,5,33350,Petrol,Manual,19.44,320000
250,Hyundai Grand,Hyundai,Grand,6,62000,Petrol,Manual,18.9,370000
252,Maruti Swift Dzire,Maruti,Swift Dzire,12,59000,Petrol,Manual,17.5,275000
254,Honda City,Honda,City,7,86113,Petrol,Manual,17.4,550000
256,Maruti Swift Dzire,Maruti,Swift Dzire,3,10000,Diesel,Manual,28.4,750000
258,Maruti Wagon R,Maruti,Wagon R,6,92537,Petrol,Manual,20.51,272000
259,Maruti Ciaz,Maruti,Ciaz,2,27645,Diesel,Manual,28.09,951000
260,Maruti Alto,Maruti,Alto,8,46242,Petrol,Manual,20.92,280000
261,Honda City,Honda,City,8,70000,Petrol,Manual,16.8,545000
262,Renault KWID,Renault,KWID,1,6000,Petrol,Manual,22.3,450000
263,Hyundai i20,Hyundai,i20,4,64000,Petrol,Manual,18.6,480000
264,Mahindra Scorpio,Mahindra,Scorpio,4,93000,Diesel,Manual,15.4,1060000
265,Maruti Alto,Maruti,Alto,8,26200,Petrol,Manual,22.74,235000
266,Maruti Baleno,Maruti,Baleno,4,25000,Petrol,Manual,21.4,590000
269,Toyota Fortuner,Toyota,Fortuner,3,50000,Diesel,Automatic,12.9,2950000
270,Hyundai Santro,Hyundai,Santro,13,80000,Petrol,Manual,17.92,110000
271,Mahindra Scorpio,Mahindra,Scorpio,14,110000,Diesel,Manual,13.5,280000
272,Audi A4,Audi,A4,5,55000,Petrol,Automatic,17.84,1851000
273,Honda City,Honda,City,3,25000,Petrol,Manual,17.4,750000
274,Hyundai Grand,Hyundai,Grand,6,36000,Petrol,Manual,18.9,400000
275,Maruti Swift Dzire,Maruti,Swift Dzire,6,40000,Diesel,Manual,26.59,530000
276,Mahindra Thar,Mahindra,Thar,3,25000,Diesel,Manual,16.55,870000
277,Renault KWID,Renault,KWID,3,30038,Petrol,Manual,25.17,295000
278,Tata Tiago,Tata,Tiago,4,53000,Diesel,Manual,27.28,370000
279,Maruti Swift,Maruti,Swift,3,5000,Petrol,Manual,21.21,530000
281,Renault KWID,Renault,KWID,4,35000,Petrol,Automatic,24.04,350000
282,Ford Ecosport,Ford,Ecosport,8,62000,Diesel,Manual,22.7,470000
283,Ford Aspire,Ford,Aspire,6,42000,Diesel,Manual,25.83,390000
285,Mahindra Scorpio,Mahindra,Scorpio,6,80000,Diesel,Manual,15.4,920000
286,Mahindra XUV500,Mahindra,XUV500,8,60000,Diesel,Manual,15.1,550000
287,Hyundai Verna,Hyundai,Verna,7,45000,Diesel,Manual,22.32,635000
288,Mahindra XUV500,Mahindra,XUV500,4,50000,Diesel,Automatic,16,1250000
289,Maruti Alto,Maruti,Alto,3,12000,Petrol,Manual,24.7,300000
290,Honda City,Honda,City,3,12000,Petrol,Automatic,18,960000
291,Maruti Vitara,Maruti,Vitara,3,15000,Diesel,Manual,24.3,750000
292,Volkswagen Polo,Volkswagen,Polo,10,63000,Petrol,Manual,16.47,249000
293,Tata Hexa,Tata,Hexa,3,30000,Diesel,Manual,17.6,1400000
294,Ford Figo,Ford,Figo,10,160800,Diesel,Manual,20,250000
295,Hyundai Verna,Hyundai,Verna,7,120000,Diesel,Manual,22.32,610000
297,Ford Ecosport,Ford,Ecosport,5,78247,Diesel,Manual,21.7,545000
298,Hyundai Verna,Hyundai,Verna,8,113000,Diesel,Manual,22.32,480000
299,Hyundai i20,Hyundai,i20,7,52000,Petrol,Manual,18.6,395000
300,Toyota Innova,Toyota,Innova,9,109000,Diesel,Manual,12.99,495000
301,Hyundai Grand,Hyundai,Grand,4,90000,Petrol,Manual,18.9,470000
305,Volkswagen Polo,Volkswagen,Polo,10,98000,Diesel,Manual,22.07,200000
306,Hyundai i20,Hyundai,i20,5,20000,Diesel,Manual,21.19,699000
308,Maruti Wagon R,Maruti,Wagon R,7,21717,Petrol,Manual,20.51,340000
309,Renault Duster,Renault,Duster,7,40000,Diesel,Manual,20.45,500000
310,Honda City,Honda,City,4,50000,Petrol,Manual,17.14,1050000
311,Renault Duster,Renault,Duster,5,90000,Diesel,Manual,19.6,600000
313,Maruti Swift,Maruti,Swift,4,27876,Petrol,Manual,20.4,491000
314,Land Rover Rover,Land Rover,Rover,5,56000,Petrol,Automatic,12.63,2890000
315,Hyundai i10,Hyundai,i10,13,57215,Petrol,Manual,20.36,160000
316,Hyundai Venue,Hyundai,Venue,2,5400,Petrol,Manual,18.27,985000
317,Maruti Swift Dzire,Maruti,Swift Dzire,7,60000,Diesel,Manual,23.4,500000
318,Tata Tiago,Tata,Tiago,4,24800,Petrol,Manual,23.84,335000
319,Maruti Alto,Maruti,Alto,16,70000,Petrol,Manual,19.7,85000
321,Honda Jazz,Honda,Jazz,3,20000,Petrol,Automatic,17.1,740000
323,Maruti Swift,Maruti,Swift,8,34553,Petrol,Manual,22,375000
324,Maruti Vitara,Maruti,Vitara,3,40000,Diesel,Manual,24.3,810000
325,Volkswagen Polo,Volkswagen,Polo,11,350000,Petrol,Manual,16.47,173000
326,Maruti Vitara,Maruti,Vitara,4,50000,Diesel,Manual,24.3,700000
327,Mahindra KUV,Mahindra,KUV,5,70000,Diesel,Manual,25.32,310000
328,Mahindra Scorpio,Mahindra,Scorpio,4,120000,Diesel,Manual,15.4,850000
329,Hyundai i20,Hyundai,i20,8,90000,Diesel,Manual,22.54,285000
330,Maruti Swift Dzire,Maruti,Swift Dzire,7,120000,Diesel,Manual,23.4,450000
331,Hyundai Creta,Hyundai,Creta,4,80000,Diesel,Manual,19.67,1100000
333,Mahindra Scorpio,Mahindra,Scorpio,4,30000,Diesel,Manual,15.4,1080000
334,Honda City,Honda,City,7,66100,Diesel,Manual,26,530000
335,Maruti Swift Dzire,Maruti,Swift Dzire,4,50000,Diesel,Manual,28.4,680000
336,Mahindra Scorpio,Mahindra,Scorpio,4,42000,Diesel,Manual,15.4,1025000
337,Hyundai i20,Hyundai,i20,4,55000,Petrol,Manual,18.6,650000
338,Hyundai i10,Hyundai,i10,9,110699,Petrol,Manual,20.36,194000
339,Maruti Baleno,Maruti,Baleno,2,5000,Petrol,Automatic,21.4,686000
340,Maruti Alto,Maruti,Alto,5,50000,Petrol,Manual,22.74,200000
341,Maruti Swift Dzire,Maruti,Swift Dzire,11,44000,Petrol,Manual,19.1,250000
342,Maruti Vitara,Maruti,Vitara,3,90000,Diesel,Manual,24.3,730000
343,Hyundai Verna,Hyundai,Verna,5,55000,Petrol,Manual,17.01,650000
344,Maruti Vitara,Maruti,Vitara,4,45000,Diesel,Manual,24.3,790000
345,Maruti Baleno,Maruti,Baleno,4,30000,Petrol,Manual,21.4,620000
346,Hyundai Verna,Hyundai,Verna,8,50000,Petrol,Manual,17.01,510000
347,Maruti Eeco,Maruti,Eeco,8,20000,Petrol,Manual,15.37,375000
349,Maruti Swift Dzire,Maruti,Swift Dzire,4,19843,Petrol,Automatic,21.21,620000
351,Ford Endeavour,Ford,Endeavour,10,30000,Diesel,Automatic,11.4,950000
352,Toyota Innova,Toyota,Innova,4,52300,Diesel,Manual,13.68,1450000
353,Honda City,Honda,City,5,40000,Petrol,Automatic,18,845000
354,Maruti Swift Dzire,Maruti,Swift Dzire,7,61500,Diesel,Manual,23.4,390000
355,Honda Amaze,Honda,Amaze,6,59000,Petrol,Manual,18,395000
356,Hyundai Grand,Hyundai,Grand,3,40000,Petrol,Manual,18.9,450000
357,Audi A6,Audi,A6,8,60000,Diesel,Automatic,17.68,1700000
358,Hyundai Grand,Hyundai,Grand,8,61000,Petrol,Manual,18.9,325000
359,Mahindra KUV,Mahindra,KUV,5,70000,Diesel,Manual,25.32,350000
360,Mahindra XUV500,Mahindra,XUV500,8,63000,Diesel,Manual,15.1,650000
361,Mercedes-Benz E-Class,Mercedes-Benz,E-Class,9,58000,Petrol,Manual,12.3,1250000
364,Maruti Swift Dzire,Maruti,Swift Dzire,4,22000,Diesel,Manual,28.4,750000
365,Honda City,Honda,City,11,57977,Petrol,Manual,17,299000
367,Land Rover Rover,Land Rover,Rover,3,13000,Petrol,Automatic,12.19,7000000
368,Mini Cooper,Mini,Cooper,9,67000,Petrol,Automatic,17.33,1325000
369,Maruti Ertiga,Maruti,Ertiga,7,48242,Diesel,Manual,20.77,524000
370,Ford Figo,Ford,Figo,9,68000,Diesel,Manual,20,169000
371,Maruti Ertiga,Maruti,Ertiga,7,40000,Diesel,Manual,20.77,500000
372,Audi Q7,Audi,Q7,9,98000,Diesel,Automatic,12.07,2000000
373,Maruti Swift Dzire,Maruti,Swift Dzire,8,113450,Diesel,Manual,23.4,380000
374,Maruti Wagon R,Maruti,Wagon R,3,80000,Petrol,Automatic,20.51,400000
375,Hyundai Santro,Hyundai,Santro,1,1000,Petrol,Automatic,20.3,565000
376,Maruti Wagon R,Maruti,Wagon R,6,20292,Petrol,Manual,20.51,335000
377,Mahindra Scorpio,Mahindra,Scorpio,11,67900,Diesel,Manual,12.05,300000
379,Mahindra Scorpio,Mahindra,Scorpio,6,40000,Diesel,Manual,15.4,1051000
380,Hyundai Grand,Hyundai,Grand,4,60000,Diesel,Manual,24,510000
381,Renault KWID,Renault,KWID,3,25000,Petrol,Automatic,24.04,370000
382,Maruti Wagon R,Maruti,Wagon R,15,70000,Petrol,Manual,18.9,200000
383,Maruti Baleno,Maruti,Baleno,3,21000,Diesel,Manual,27.39,625000
384,Mahindra Scorpio,Mahindra,Scorpio,3,39000,Diesel,Manual,16.36,1290000
385,Hyundai Creta,Hyundai,Creta,4,30000,Petrol,Manual,15.8,890000
386,Hyundai Verna,Hyundai,Verna,9,61000,Diesel,Manual,22.32,420000
387,Maruti Swift,Maruti,Swift,4,5743,Petrol,Manual,20.4,500000
389,Hyundai Grand,Hyundai,Grand,3,24200,Petrol,Manual,18.9,600000
390,Maruti Baleno,Maruti,Baleno,4,57000,Diesel,Manual,27.39,590000
391,Hyundai i10,Hyundai,i10,10,58000,Petrol,Manual,20.36,190000
392,Datsun GO,Datsun,GO,4,15000,Petrol,Manual,19.44,500000
393,Maruti Celerio,Maruti,Celerio,4,10000,Petrol,Manual,23.1,450000
396,Mahindra XUV500,Mahindra,XUV500,6,100000,Diesel,Manual,15.1,650000
397,BMW Z4,BMW,Z4,1,2000,Petrol,Automatic,11.29,8250000
398,Maruti Wagon R,Maruti,Wagon R,1,10000,Petrol,Manual,20.52,500000
400,Maruti Alto,Maruti,Alto,12,43000,Petrol,Manual,19.7,140000
401,Honda Amaze,Honda,Amaze,8,64000,CNG,Manual,18,349000
402,Maruti Wagon R,Maruti,Wagon R,7,30000,Petrol,Manual,20.51,325000
403,Honda City,Honda,City,7,63000,Petrol,Manual,17.8,435000
404,Maruti Celerio,Maruti,Celerio,3,28000,CNG,Manual,31.79,455000
405,Land Rover Rover,Land Rover,Rover,3,25000,Petrol,Automatic,9.17,6200000
406,Honda City,Honda,City,4,32226,Petrol,Manual,17.8,755000
410,Maruti Alto,Maruti,Alto,7,65000,Petrol,Manual,23.95,245000
411,Kia Seltos,Kia,Seltos,2,14000,Diesel,Manual,20.8,1350000
414,Renault KWID,Renault,KWID,3,15000,Petrol,Automatic,24.04,310000
416,BMW 6,BMW,6,3,30000,Petrol,Automatic,14.28,5500000
418,Maruti Swift Dzire,Maruti,Swift Dzire,3,32000,Diesel,Manual,19.3,675000
419,Maruti Wagon R,Maruti,Wagon R,2,30000,Petrol,Manual,20.52,500000
420,Hyundai i10,Hyundai,i10,11,25000,Petrol,Manual,20.36,300000
421,Mahindra Scorpio,Mahindra,Scorpio,5,35000,Diesel,Automatic,15.4,1450000
422,Mahindra Scorpio,Mahindra,Scorpio,8,140000,Diesel,Manual,12.05,530000
423,Ford Ecosport,Ford,Ecosport,7,65597,Diesel,Manual,22.7,575000
424,Hyundai i20,Hyundai,i20,4,35000,Petrol,Manual,18.6,550000
425,Maruti Ciaz,Maruti,Ciaz,7,160000,Diesel,Manual,26.21,500000
426,Maruti Baleno,Maruti,Baleno,1,7124,Petrol,Manual,21.01,643000
